Rank,Player,Goals
608.0,Frédéric Piquionne,11.0
608.0,Pavel Pogrebnyak,11.0
608.0,Karl-Heinz Riedle,11.0
608.0,Alan Stubbs,11.0
608.0,Jerome Thomas,11.0
608.0,James Tomkins,11.0
608.0,Enner Valencia,11.0
608.0,Chris Waddle,11.0
608.0,Mark Walters,11.0
608.0,John Williams,11.0
649.0,Benik Afobe,10.0
649.0,Nathan Aké,10.0
649.0,Martin Allen,10.0
649.0,John Aloisi,10.0
649.0,Afonso Alves,10.0
649.0,Daniel Amokachi,10.0
649.0,Stuart Barlow,10.0
649.0,Warren Barton,10.0
649.0,Darren Beckford,10.0
649.0,Leon Best,10.0
649.0,Titus Bramble,10.0
649.0,Emre Can,10.0
649.0,Etienne Capoue,10.0
649.0,Nikolaos Dabizas,10.0
649.0,Sean Davis,10.0
649.0,Gilles De Bilde,10.0
649.0,Matt Derbyshire,10.0
649.0,Eric Dier,10.0
649.0,Sylvan Ebanks-Blake,10.0
649.0,Robbie Elliott,10.0
649.0,Jonny Evans,10.0
649.0,Abdoulaye Faye,10.0
649.0,Mathieu Flamini,10.0
649.0,Marc Vivien Foe,10.0
649.0,Diego Forlán,10.0
649.0,Dougie Freedman,10.0
649.0,Manolo Gabbiadini,10.0
649.0,Ricardo Gardner,10.0
649.0,Pascal Groß,10.0
649.0,Asamoah Gyan,10.0
649.0,Gunnar Halle,10.0
649.0,Brede Hangeland,10.0
649.0,Thomas Hitzlsperger,10.0
649.0,Bryan Hughes,10.0
649.0,Andy Hunt,10.0
649.0,Stern John,10.0
649.0,Tugay,10.0
649.0,Ledley King,10.0
649.0,Leroy Lita,10.0
649.0,Joselu,10.0
649.0,John Moncur,10.0
649.0,Kenneth Monkou,10.0
649.0,Steve Morison,10.0
649.0,Robbie Mustoe,10.0
649.0,Matt Phillips,10.0
649.0,David Phillips,10.0
649.0,Serhiy Rebrov,10.0
649.0,Nigel Reo-Coker,10.0
649.0,Lucas Moura,10.0
649.0,Jack Rodwell,10.0
649.0,Ronnie Rosenthal,10.0
649.0,Vladimir Smicer,10.0
649.0,Davor Suker,10.0
649.0,Victor Wanyama,10.0
649.0,Dane Whitehouse,10.0
649.0,Amr Zaki,10.0
705.0,Daniel Agger,9.0
705.0,Faustino Asprilla,9.0
705.0,Peter Atherton,9.0
705.0,Paul Bernard,9.0
705.0,Mark Bowen,9.0
705.0,George Boyd,9.0
705.0,Titi Camara,9.0
705.0,Michael Chopra,9.0
705.0,Jack Colback,9.0
705.0,Steve Cook,9.0
705.0,Jody Craddock,9.0
705.0,Charlie Daniels,9.0
705.0,Jonathan de Guzmán,9.0
705.0,Lee Dixon,9.0
705.0,Jason Dodd,9.0
705.0,John Ebbrell,9.0
705.0,Willie Falconer,9.0
705.0,Jostein Flo,9.0
705.0,Jeremy Goss,9.0
705.0,Jonathan Greening,9.0
705.0,Steve Guppy,9.0
705.0,Richard Hall,9.0
705.0,James Harper,9.0
705.0,Danny Higginbotham,9.0
705.0,Richard Holden,9.0
705.0,David Howells,9.0
705.0,Paul Konchesky,9.0
705.0,Gervinho,9.0
705.0,Ruben Loftus-Cheek,9.0
705.0,Peter Løvenkrands,9.0
705.0,Jamie Mackie,9.0
705.0,Lee McCulloch,9.0
705.0,Steve Mounie,9.0
705.0,Ryan Nelsen,9.0
705.0,Phil Neville,9.0
705.0,Erik Nevland,9.0
705.0,Jamie O'Hara,9.0
705.0,Gary Pallister,9.0
705.0,Felipe Anderson,9.0
705.0,Stiliyan Petrov,9.0
705.0,Gastón Ramírez,9.0
705.0,Matt Ritchie,9.0
705.0,Iwan Roberts,9.0
705.0,Danny Rose,9.0
705.0,Scott Sellars,9.0
705.0,Andriy Shevchenko,9.0
705.0,Mikaël Silvestre,9.0
705.0,Mathias Svensson,9.0
705.0,Anders Svensson,9.0
705.0,Gerry Taggart,9.0
705.0,Diogo Jota,9.0
705.0,Michael Turner,9.0
705.0,Matt Upson,9.0
705.0,David Weir,9.0
705.0,Devon White,9.0
705.0,Clive Wilson,9.0
705.0,Luke Young,9.0
705.0,Pablo Zabaleta,9.0
705.0,Mauro Zárate,9.0
764.0,Philippe Albert,8.0
764.0,Jérémie Aliadière,8.0
764.0,Julio Arca,8.0
764.0,Eirik Bakke,8.0
764.0,Michael Ball,8.0
764.0,Nicky Banger,8.0
764.0,Gary Bannister,8.0
764.0,Jermaine Beckford,8.0
764.0,Henning Berg,8.0
764.0,Gudni Bergsson,8.0
764.0,Diniyar Bilyaletdinov,8.0
764.0,Carlos Bocanegra,8.0
764.0,Robbie Brady,8.0
764.0,Horacio Carbonari,8.0
764.0,Stephen Carr,8.0
764.0,Steven Caulker,8.0
764.0,Jack Cork,8.0
764.0,Jordi Cruyff,8.0
764.0,Marc Degryse,8.0
764.0,Aruna Dindane,8.0
764.0,Papa Bouba Diop,8.0
764.0,Graham Dorrans,8.0
764.0,Talal El Karkouri,8.0
764.0,Gianluca Festa,8.0
764.0,Sean Flynn,8.0
764.0,Per Frandsen,8.0
764.0,Scot Gemmill,8.0
764.0,Dean Gordon,8.0
764.0,Demarai Gray,8.0
764.0,Colin Hendry,8.0
764.0,Abel Hernández,8.0
764.0,Alyaksandr Hleb,8.0
764.0,Ray Houghton,8.0
764.0,Jonny Howson,8.0
764.0,Robert Hulse,8.0
764.0,Radhi Jaidi,8.0
764.0,Daryl Janmaat,8.0
764.0,Richard Jobson,8.0
764.0,Ronny Johnsen,8.0
764.0,Stevan Jovetic,8.0
764.0,Jeff Kenna,8.0
764.0,Temuri Ketsbaia,8.0
764.0,Andy King,8.0
764.0,Martin Laursen,8.0
764.0,Chung-Yong Lee,8.0
764.0,Sylvain Legwinski,8.0
764.0,David Lowe,8.0
764.0,Russell Martin,8.0
764.0,David May,8.0
